86.86,89.09,86.12,88.87,36404
89.89,90.36,87.93,88.36,29294
88.67,89.24,85.81,86.26,29488
85.53,86.38,84.38,85.74,32320
84.8,86.86,84,86.44,28259
86.97,87.63,85.69,87.3,28659
85.8,85.98,84.25,84.95,25327
83.98,85.74,83.0784,83.35,29343
83.22,83.98,82.54,83.16,26122
83.61,84.11,82.3,83.13,32024
82.72,84.21,82.59,84.03,18045
87,87.97,86.66,87.46,40376
87.78,90.17,87.25,89.91,38643
90.81,93.34,90.47,91.37,66624
90.35,91.95,90.14,91.38,36450
91.85,92.26,90.44,91.53,48478
92.35,94.93,91.85,94.65,42235
94.34,95.77,93.45,94.3,48764
94.68,94.94,93.28,94.19,37759
91.31,92.47,90.72,92.06,31473
93.6,93.6,92.3112,93.11,30739
93.16,93.43,90.75,90.99,30693
91.72,92.34,90.62,91.52,48110
92.77,93.43,90.49,91.98,50309
91.88,93.05,91.45,92.7,30256
92.4,92.85,90.79,91.53,36081
92.3,93,90.5,91.83,47031
91.49,92.03,89.35,89.6,46463
88.51,90.9,88.058,89.95,38843
89.57,93.05,89.33,92.51,42087
93.85,97.36,93.73,96.5,68538
96.52,97.84,95.83,97.67,51675
97.53,100.84,97.03,100.52,51550
100.2,101.22,98.92,99.86,33093
101.31,101.73,98.94,99.33,35644
98.72,98.72,96.4,98.01,51685
99.19,100.44,98.75,99.91,33818
99.52,102.69,98.705,102.67,38869
102.25,103.07,100.75,102.75,33067
102.52,104.85,102.18,104.06,23050
104.5,104.92,102.23,104.14,28099
103.31,105.59,101.44,101.46,44436
101.14,102.48,99.26,102.08,36702
102.51,103.239,98.6,99.39,38761
99.92,101.735,97.46,97.83,29318
97.76,99.48,96.901,98.16,30744
97.18,97.2,93.56,93.85,37612
98.75,99.65,97.95,99.04,31217
97.38,99.615,97.17,98.87,26526
100.02,101.05,99.79,100.82,35202
100.61,101.05,98.93,100.54,31435
101.27,101.55,99.84,100.63,19604
100.21,100.89,97.38,97.95,24367
97.74,98.48,96.48,98.14,29049
99.25,101,99.25,100.39,27419
99.41,100.96,99.22,100.62,21147
101.54,101.72,99.42,99.75,33329
99.01,99.13,96.16,97.07,26350
96.4,96.84,95.3,96.47,24987
98.28,99.42,97.3,97.77,19389
97.33,97.77,96.02,97.24,24362
97.79,98.22,96.61,97.95,29461
94.84,96.52,93.17,95.75,19741
95.22,96.56,94.54,95.28,25796
96.24,98.57,96.24,97.72,36256
97.24,97.95,96.1,96.37,19577
96.2,97.24,94.74,94.9,19918
95.78,97.35,93.67,94.2,35142
93.58,94.5,92.5,93.34,37426
92.84,93.24,91.9,92.52,34804
92.93,93.58,91.63,93.09,29248
93.59,95.08,93.37,94.95,34300
95.67,95.81,94.27,94.63,29391
96.94,98.94,96.94,98.5,39747
98.5,99.63,97.74,99.1,34178
99.79,101.83,99.5,101.35,36032
100.53,101.17,99.59,99.97,34578
101.64,101.64,99.37,99.86,36072
100.14,102.49,100.14,101.79,23693
102.06,104.1,102.02,103.6,23262
103.88,104.86,103.32,104.5,20068
104.75,105.46,104.53,104.89,4774
105.45,106.46,104.41,105.13,15123
105.66,105.73,104.2705,104.52,15871
103.88,104.49,103.34,104.22,13201
104.16,104.92,103.1,103.17,14776
104.94,106.46,104.53,105.87,23648
105.98,107.16,105.24,107.12,24644
106.78,108.92,106.17,108.8,28944
108.32,108.32,106.18,107.15,24121
106.115,106.8,104.8901,106.59,41059
107.45,108.23,105.87,106.91,23525
105.39,106.42,104.76,105.29,30030
104.52,107.1,104.16,106.82,24852
107.08,107.7,106.42,107.4,18959
107.12,108,105.95,107.66,24430
107.08,108.6,106.44,108.4,29482
106.74,106.74,105.68,106.46,31878
107.32,107.44,104.74,105.06,40337
104.35,104.88,101.72,102.03,44501
102.81,104.96,102.5605,104,38173
101.97,103.91,101.67,102.36,33630
102.23,103.06,99.88,101.4,32654
103.04,104.36,100.63,101.69,33195
102.41,103.14,98.08,98.77,31042
99.47,102.53,99.34,102.4,25009
102.56,104.94,101.78,104.63,22222
104.13,104.97,102.72,103.32,16966
102.02,102.59,98.72,98.88,27427
99.06,99.98,95.15,98.4,41427
98.27,99.13,96.88,97.19,26832
98.55,99.85,97.56,98.51,38438
98.03,99.15,96.32,98.55,40302
98.5,99.99,97.88,99.82,39119
98.61,99.9,98,99.58,28280
101.99,104.1,100.85,103.68,43222
103.96,104.63,102.94,103.57,30496
101.87,104.03,101.29,103.59,32964
103.09,105.32,102.5,105.01,32834
105.37,105.59,103.04,104.02,33234
103.3,104.16,101.82,102.46,48455
101.79,102.56,101,102.27,38200
100.52,103.33,100.07,103.14,28750
103.63,103.97,102.27,103.64,23756
104.01,105.38,103.71,105.03,26291
105.48,107.04,105.28,106.18,31978
106.36,106.97,105.29,106.01,31086
106.26,106.47,104.33,104.8,26784
105.95,107.46,105.58,107.41,25378
107.34,107.41,105.46,106.02,23272
105.26,106.76,105.26,106.21,17301
106.41,107.17,105.28,106.59,25015
106.25,107.31,105.81,106.94,24607
107.33,107.98,106.1,106.85,26910
105.19,105.51,102.7,104.32,30293
104.66,104.95,103.58,104.65,29488
105.45,106.65,105.14,106.18,26682
105.6,106.25,102.76,103.45,29521
103.82,104.46,100.63,101.68,37742
100.63,102.105,100.11,101.6,28943
102.32,103.53,102,103.26,39332
102.55,103.52,102,102.32,31910
103.51,103.67,98.97,99.07,45990
99.31,99.4799,97.09,98.31,51312
98.98,100.2,98.59,99.8,47980
100.08,100.24,99,99.72,40220
100.32,102.35,99.95,101.5,38478
102.8,103.98,102.65,103.87,33315
104.23,106.55,103.55,106.21,34751
105.84,107.04,105.36,106.54,22277
106,106.55,104.66,105.47,39538
104.78,106.49,104.35,106.29,28355
106.63,107.38,106.08,106.76,29442
106.82,108.1,106.37,107.11,27233
107,107,105.33,106.79,20770
107.64,108.19,106.51,108.06,21119
103.94,107.29,103.75,106.67,97700
105.61,106.79,104.5314,105.44,54182
104.09,105.6,103.85,105.18,28954
106.09,108.43,106.07,107.81,33566
108.11,108.48,107.08,108.06,29990
106.93,108.47,105.96,108.24,32035
107.91,109.99,106.7,109.87,37747
109.86,111,109.07,109.49,34666
108.97,109.25,105.5,105.86,38386
106.46,107.15,104.83,106.58,28775
107.1,107.45,102.22,102.92,78986
102.78,103,96.06,101.76,144875
101.88,105.55,101.15,104.55,59957
102.07,102.41,99.75,100.92,49890
99.31,100.81,98,99.3,45775
98.87,100.21,90.41,95.96,65833
95.96,96.9,92.02,93.53,72961
96.96,98.67,96.44,98.27,43651
97.02,98.87,96.19,96.66,41088
97.49,99.05,96.99,98.44,36335
98.06,98.44,96.25,96.46,45863
95.81,95.97,92.02,94.28,60580
94.64,95.49,93.15,95.19,70786
96.29,97.07,93.53,94.04,56451
93.54,94.59,91.2,93.26,50468
91.25,91.5,87.39,87.97,84135
86.07,90.55,85.16,89.58,65143
89.74,89.74,87.34,87.35,41360
84.34,88.24,83.55,88.04,47489
89.05,90.5,87.4,87.81,46440
90.4,91.97,90.05,91.84,65343
92.32,92.56,89.26,89.54,66649
87.9,89.1504,85.24,85.42,63334
86.12,89.1,84.5,89.04,63840
90.13,90.6,86.6045,89.6,106866
87.26,90.64,87.03,87.57,70823
88.56,89.68,85.82,86.03,64164
86.77,89,85.7301,88.89,47341
90.43,92.73,88.44,88.84,54411
90.96,93.35,90.7,93.26,40795
92.48,93.74,91.7801,93.64,31043
95.03,96.7,93.9101,95.34,50087
95.82,98.41,95.82,98.2,45188
97.48,99.11,96.8,97.62,55991
98.15,98.23,95.78,97.19,37182
97.38,99.486,96.21,97.57,45346
99.59,99.96,94.95,95.55,43408
95.85,96.03,93.01,93.33,39843
93.14,93.25,90.86,92.21,41066
91.73,92.62,89.38,89.67,36884
90.67,90.88,88.55,89.92,55658
90.34,90.34,87.63,87.71,39271
85.94,86.13,84,84.51,49999
84.69,85.85,83.85,84.19,49141
84.08,85.11,81.94,83.7,52324
84.04,84.74,82.32,82.85,27149
84.59,84.71,82.17,82.89,46830
83.48,87.05,83.44,87.05,46441
88.27,88.27,86.28,87.4,33130
87.361,88.02,86.736,87.88,27582
86.75,86.75,84.1988,85.07,67409
86.4,87.34,85.9,86.65,41907
86.41,87.23,85.62,86.83,25464
86.8,87.16,84.29,86.13,52863
85.67,85.67,82.38,82.75,54851
83.91,85.81,83.5,85.59,51801
84.46,88.62,84.46,88.28,43180
87.45,88.85,87,87.45,102973
88.73,90.12,87.8,89.28,71174
89.14,93.43,89.07,92.79,292326
94.46,95.6,93.5,95.5,82266
96.07,96.45,93.91,94.92,55014
94.49,95.424,93.61,94.37,35365
94.79,96.19,94.49,95.4,51269
94.07,96.26,93.8,95.58,48502
97.01,98.8,96.67,98.47,42294
98.42,98.62,97.13,98.02,36967
98.15,98.67,96.52,97.76,44285
97.1,97.85,96.2,97.55,34137
96.34,96.58,94.11,95.95,46421
96.31,96.82,95.23,96.22,23802
94.93,95.9,93.83,95.46,35589
93.5,93.76,92.03,92.33,39832
91.35,93.34,91,91.85,39603
91.68,92.5837,91.06,91.26,27329
90.8,91.69,90.5,91.4,26625
92.2639,93.5,92.01,93,33017
92.49,92.83,91.17,91.75,34002
90.97,91.24,90,90.53,33961
